area_id,date,time_slice,passers_by,unique_passers_by
R013C021,2026-09-21,"[05:00,06:00)",318,294
R012C015,2026-09-21,"[11:00,12:00)",23829,19031
R012C019,2026-09-21,"[10:00,11:00)",3108,2992
R022C014,2026-09-21,"[14:00,15:00)",201,156
R010C002,2026-09-21,"[11:00,12:00)",44879,34334
R011C018,2026-09-21,"[08:00,09:00)",39984,30646
R006C016,2026-09-21,"[06:00,07:00)",7520,7006
R020C002,2026-09-21,"[10:00,11:00)",127,76
R014C007,2026-09-21,"[03:00,04:00)",438,223
R016C017,2026-09-21,"[10:00,11:00)",11447,10691
R017C000,2026-09-21,"[02:00,03:00)",12,12
R016C000,2026-09-21,"[13:00,14:00)",113,74
R015C014,2026-09-21,"[07:00,08:00)",8417,8270
R011C015,2026-09-21,"[12:00,13:00)",32074,22712
R018C003,2026-09-21,"[22:00,23:00)",59,59
R015C002,2026-09-21,"[08:00,09:00)",3989,3067
R017C002,2026-09-21,"[11:00,12:00)",251,208
R020C009,2026-09-21,"[07:00,08:00)",20065,15285
R015C016,2026-09-21,"[04:00,05:00)",1895,1489
R002C019,2026-09-21,"[22:00,23:00)",3376,2717
R014C020,2026-09-21,"[19:00,20:00)",1216,907
R007C009,2026-09-21,"[08:00,09:00)",84118,66276
R022C010,2026-09-21,"[22:00,23:00)",573,549
R012C007,2026-09-21,"[16:00,17:00)",43551,30560
R016C009,2026-09-21,"[10:00,11:00)",7957,5527
R018C013,2026-09-21,"[09:00,10:00)",1737,1234
R014C016,2026-09-21,"[19:00,20:00)",16719,14644
R007C005,2026-09-21,"[09:00,10:00)",23472,15679
R004C017,2026-09-21,"[22:00,23:00)",4239,3382
R019C012,2026-09-21,"[23:00,00:00)",787,506
R011C003,2026-09-21,"[20:00,21:00)",19837,14416
R019C007,2026-09-21,"[06:00,07:00)",4563,3540
R005C007,2026-09-21,"[09:00,10:00)",19715,16639
R020C003,2026-09-21,"[20:00,21:00)",280,268
R023C010,2026-09-21,"[15:00,16:00)",1269,1202
R002C018,2026-09-21,"[23:00,00:00)",2369,1913
R016C008,2026-09-21,"[16:00,17:00)",17042,11350
R010C005,2026-09-21,"[05:00,06:00)",3950,3350
R013C007,2026-09-21,"[13:00,14:00)",12343,8868
R008C014,2026-09-21,"[21:00,22:00)",22830,20549
R008C005,2026-09-21,"[22:00,23:00)",14364,11627
R015C011,2026-09-21,"[14:00,15:00)",18696,14505
R013C022,2026-09-21,"[09:00,10:00)",5653,4736
R005C006,2026-09-21,"[21:00,22:00)",5107,3837
R010C017,2026-09-21,"[23:00,00:00)",5707,4403
R012C021,2026-09-21,"[13:00,14:00)",4835,4185
R008C007,2026-09-21,"[08:00,09:00)",96328,71500
R025C009,2026-09-21,"[14:00,15:00)",1297,1022
R021C005,2026-09-21,"[03:00,04:00)",143,79
R013C006,2026-09-21,"[05:00,06:00)",3252,2305
R021C007,2026-09-21,"[23:00,00:00)",95,59
R021C004,2026-09-21,"[13:00,14:00)",954,713
R008C012,2026-09-21,"[12:00,13:00)",56773,46086
R006C008,2026-09-21,"[04:00,05:00)",1700,1320
R023C011,2026-09-21,"[23:00,00:00)",513,392
R010C017,2026-09-21,"[12:00,13:00)",42052,29869
R014C019,2026-09-21,"[10:00,11:00)",3676,2565
R008C018,2026-09-21,"[03:00,04:00)",274,115
R011C014,2026-09-21,"[13:00,14:00)",57552,41740
R011C016,2026-09-21,"[10:00,11:00)",23268,15971
R015C003,2026-09-21,"[07:00,08:00)",2253,2125
R022C005,2026-09-21,"[17:00,18:00)",1277,1277
R013C018,2026-09-21,"[02:00,03:00)",939,719
R015C020,2026-09-21,"[21:00,22:00)",1440,1166
R004C013,2026-09-21,"[19:00,20:00)",6868,5005
R010C012,2026-09-21,"[22:00,23:00)",8395,7381
R012C013,2026-09-21,"[19:00,20:00)",61774,44756
R011C012,2026-09-21,"[14:00,15:00)",52898,41473
R015C009,2026-09-21,"[06:00,07:00)",3621,2892
R024C004,2026-09-21,"[07:00,08:00)",72,72
R008C018,2026-09-21,"[21:00,22:00)",2347,1286
R005C008,2026-09-21,"[09:00,10:00)",18049,14409
R006C016,2026-09-21,"[09:00,10:00)",13167,11479
R003C018,2026-09-21,"[13:00,14:00)",12255,10438
R009C006,2026-09-21,"[11:00,12:00)",50833,39637
R009C012,2026-09-21,"[23:00,00:00)",9448,8074
R003C019,2026-09-21,"[18:00,19:00)",5150,5104
R014C013,2026-09-21,"[14:00,15:00)",54513,44598
R020C009,2026-09-21,"[17:00,18:00)",22485,15237
R011C007,2026-09-21,"[11:00,12:00)",72100,52590
R012C021,2026-09-21,"[06:00,07:00)",1644,1644
R004C011,2026-09-21,"[22:00,23:00)",5234,4265
R009C001,2026-09-21,"[06:00,07:00)",1816,1735
R019C008,2026-09-21,"[03:00,04:00)",154,95
R021C013,2026-09-21,"[21:00,22:00)",2538,1638
R010C002,2026-09-21,"[20:00,21:00)",27092,22333
R012C007,2026-09-21,"[19:00,20:00)",20775,15663
R005C010,2026-09-21,"[02:00,03:00)",476,401
R012C016,2026-09-21,"[14:00,15:00)",16252,14134
R015C016,2026-09-21,"[10:00,11:00)",29673,23339
R013C022,2026-09-21,"[19:00,20:00)",5054,4130
R023C011,2026-09-21,"[13:00,14:00)",3201,2575
R013C004,2026-09-21,"[07:00,08:00)",9997,8541
R013C006,2026-09-21,"[23:00,00:00)",2581,1794
R018C017,2026-09-21,"[17:00,18:00)",572,524
R019C004,2026-09-21,"[02:00,03:00)",245,139
R021C004,2026-09-21,"[11:00,12:00)",586,514
R013C011,2026-09-21,"[05:00,06:00)",7736,6269
R004C012,2026-09-21,"[18:00,19:00)",30836,26242
R020C006,2026-09-21,"[18:00,19:00)",4718,3238
R016C006,2026-09-21,"[14:00,15:00)",740,680
R020C011,2026-09-21,"[11:00,12:00)",11399,8970
R025C009,2026-09-21,"[22:00,23:00)",489,284
R020C004,2026-09-21,"[20:00,21:00)",3196,2025
R009C008,2026-09-21,"[08:00,09:00)",87885,72841
R024C011,2026-09-21,"[21:00,22:00)",399,339
R024C009,2026-09-21,"[11:00,12:00)",3385,2402
R007C012,2026-09-21,"[10:00,11:00)",32068,25881
R013C010,2026-09-21,"[17:00,18:00)",73036,55084
R019C011,2026-09-21,"[19:00,20:00)",21053,15433
R005C013,2026-09-21,"[06:00,07:00)",1318,1184
R014C008,2026-09-21,"[10:00,11:00)",5124,3704
R017C016,2026-09-21,"[05:00,06:00)",340,274
R010C005,2026-09-21,"[09:00,10:00)",31219,24990
R016C010,2026-09-21,"[20:00,21:00)",20408,15679
R017C016,2026-09-21,"[11:00,12:00)",3030,2282
R023C012,2026-09-21,"[18:00,19:00)",6275,6003
R013C006,2026-09-21,"[12:00,13:00)",16093,10611
R009C010,2026-09-21,"[22:00,23:00)",24338,19236
R017C013,2026-09-21,"[10:00,11:00)",4818,3082
R009C000,2026-09-21,"[17:00,18:00)",1781,1747
R022C010,2026-09-21,"[08:00,09:00)",9617,9172
R009C016,2026-09-21,"[13:00,14:00)",25081,20931
R019C006,2026-09-21,"[10:00,11:00)",8047,5003
R013C020,2026-09-21,"[11:00,12:00)",1784,1180
R003C012,2026-09-21,"[03:00,04:00)",1372,1291
R012C014,2026-09-21,"[06:00,07:00)",18309,14205
R007C012,2026-09-21,"[03:00,04:00)",1634,1293
R010C004,2026-09-21,"[03:00,04:00)",1065,667
R021C005,2026-09-21,"[10:00,11:00)",910,640
R022C012,2026-09-21,"[06:00,07:00)",2670,2259
R018C005,2026-09-21,"[18:00,19:00)",1515,1452
R013C022,2026-09-21,"[21:00,22:00)",2572,1900
R015C015,2026-09-21,"[17:00,18:00)",52030,41963
R020C012,2026-09-21,"[11:00,12:00)",2124,1575
R022C008,2026-09-21,"[04:00,05:00)",766,411
R012C002,2026-09-21,"[03:00,04:00)",539,439
R012C007,2026-09-21,"[10:00,11:00)",28113,19883
R012C011,2026-09-21,"[11:00,12:00)",91315,68381
R003C011,2026-09-21,"[05:00,06:00)",1335,1065
R011C001,2026-09-21,"[23:00,00:00)",4154,3590
R011C010,2026-09-21,"[07:00,08:00)",205601,142027
R017C012,2026-09-21,"[02:00,03:00)",182,91
R015C010,2026-09-21,"[02:00,03:00)",795,478
R001C020,2026-09-21,"[21:00,22:00)",5863,5276
R013C014,2026-09-21,"[15:00,16:00)",40843,32236
R022C011,2026-09-21,"[14:00,15:00)",4654,4205
R013C018,2026-09-21,"[21:00,22:00)",7995,6677
R023C010,2026-09-21,"[08:00,09:00)",1961,1914
R017C011,2026-09-21,"[05:00,06:00)",1148,1041
R008C006,2026-09-21,"[22:00,23:00)",10471,9255
R009C008,2026-09-21,"[14:00,15:00)",65639,51761
R007C008,2026-09-21,"[08:00,09:00)",88860,71793
R019C001,2026-09-21,"[11:00,12:00)",107,87
R012C017,2026-09-21,"[16:00,17:00)",52187,37226
R010C008,2026-09-21,"[04:00,05:00)",6018,4375
R020C004,2026-09-21,"[19:00,20:00)",4372,2948
R013C022,2026-09-21,"[18:00,19:00)",6580,5408
R023C011,2026-09-21,"[16:00,17:00)",4350,3473
R014C010,2026-09-21,"[11:00,12:00)",35718,25798
R014C005,2026-09-21,"[19:00,20:00)",3198,2788
R022C004,2026-09-21,"[20:00,21:00)",8,8
R010C007,2026-09-21,"[04:00,05:00)",5350,4338
R016C018,2026-09-21,"[10:00,11:00)",18264,16677
R020C011,2026-09-21,"[06:00,07:00)",5220,4663
R007C008,2026-09-21,"[02:00,03:00)",2825,1992
R016C005,2026-09-21,"[16:00,17:00)",1614,1531
R018C005,2026-09-21,"[16:00,17:00)",2108,1975
R024C007,2026-09-21,"[23:00,00:00)",167,115
R006C008,2026-09-21,"[03:00,04:00)",1804,1460
R016C017,2026-09-21,"[17:00,18:00)",19320,18451
R016C011,2026-09-21,"[04:00,05:00)",932,781
R011C007,2026-09-21,"[20:00,21:00)",44169,34248
R021C004,2026-09-21,"[07:00,08:00)",752,574
R007C016,2026-09-21,"[05:00,06:00)",687,611
R019C011,2026-09-21,"[14:00,15:00)",20509,14064
R005C013,2026-09-21,"[18:00,19:00)",4463,3445
R005C012,2026-09-21,"[07:00,08:00)",25968,22652
R017C008,2026-09-21,"[04:00,05:00)",198,127
R010C001,2026-09-21,"[13:00,14:00)",19472,18395
R009C000,2026-09-21,"[20:00,21:00)",461,455
R006C008,2026-09-21,"[09:00,10:00)",29984,23718
R023C007,2026-09-21,"[13:00,14:00)",2263,1424
R021C006,2026-09-21,"[23:00,00:00)",44,44
R020C007,2026-09-21,"[21:00,22:00)",1884,1050
R001C019,2026-09-21,"[14:00,15:00)",19789,15194
R011C001,2026-09-21,"[16:00,17:00)",44697,39865
R016C010,2026-09-21,"[17:00,18:00)",47982,36706
R018C010,2026-09-21,"[18:00,19:00)",24627,20737
R015C020,2026-09-21,"[07:00,08:00)",5315,4588
R017C000,2026-09-21,"[14:00,15:00)",220,173
R012C007,2026-09-21,"[15:00,16:00)",33018,22429
R017C000,2026-09-21,"[13:00,14:00)",175,164
R020C012,2026-09-21,"[06:00,07:00)",1131,973
R007C013,2026-09-21,"[22:00,23:00)",13678,11311
R013C009,2026-09-21,"[13:00,14:00)",34899,23999
R017C013,2026-09-21,"[18:00,19:00)",5863,4322
R021C003,2026-09-21,"[11:00,12:00)",21,21
R008C006,2026-09-21,"[07:00,08:00)",52946,45902
R015C009,2026-09-21,"[07:00,08:00)",5290,4012
R014C011,2026-09-21,"[11:00,12:00)",37336,27606
R013C020,2026-09-21,"[17:00,18:00)",3186,2043
R014C018,2026-09-21,"[04:00,05:00)",1306,1044
R021C009,2026-09-21,"[06:00,07:00)",5950,4807
R014C008,2026-09-21,"[07:00,08:00)",7030,6095
R009C009,2026-09-21,"[03:00,04:00)",3206,2619
R016C014,2026-09-21,"[17:00,18:00)",1229,1151
R013C013,2026-09-21,"[04:00,05:00)",3133,2478
R011C018,2026-09-21,"[06:00,07:00)",10188,8500
R004C015,2026-09-21,"[03:00,04:00)",357,162
R012C021,2026-09-21,"[12:00,13:00)",4048,3650
R024C008,2026-09-21,"[05:00,06:00)",349,258
R010C010,2026-09-21,"[18:00,19:00)",207990,147231
R016C007,2026-09-21,"[11:00,12:00)",3869,3282
R009C000,2026-09-21,"[23:00,00:00)",234,205
R015C001,2026-09-21,"[17:00,18:00)",761,692
R024C005,2026-09-21,"[16:00,17:00)",844,832
R005C011,2026-09-21,"[21:00,22:00)",13907,11313
R015C008,2026-09-21,"[02:00,03:00)",286,219
R011C010,2026-09-21,"[16:00,17:00)",331731,202620
R020C015,2026-09-21,"[09:00,10:00)",146,146
R012C003,2026-09-21,"[12:00,13:00)",27157,17487
R017C009,2026-09-21,"[21:00,22:00)",1226,970
R015C018,2026-09-21,"[17:00,18:00)",31405,27841
R015C002,2026-09-21,"[07:00,08:00)",3233,2632
R018C004,2026-09-21,"[06:00,07:00)",1250,1227
R018C015,2026-09-21,"[08:00,09:00)",5808,4224
R013C018,2026-09-21,"[09:00,10:00)",18786,15884
R010C009,2026-09-21,"[21:00,22:00)",71033,51557
R020C002,2026-09-21,"[06:00,07:00)",100,80
R001C019,2026-09-21,"[22:00,23:00)",4232,3335
R005C011,2026-09-21,"[11:00,12:00)",30639,23771
R017C019,2026-09-21,"[08:00,09:00)",23489,19598
R010C011,2026-09-21,"[23:00,00:00)",13456,10245
R012C016,2026-09-21,"[06:00,07:00)",6082,5619
R004C016,2026-09-21,"[23:00,00:00)",2002,1821
R010C005,2026-09-21,"[15:00,16:00)",31294,24783
R006C007,2026-09-21,"[23:00,00:00)",4471,3233
R016C012,2026-09-21,"[11:00,12:00)",19442,14276
R012C004,2026-09-21,"[14:00,15:00)",32407,21321
R006C010,2026-09-21,"[19:00,20:00)",19229,15697
R003C007,2026-09-21,"[05:00,06:00)",2011,1759
R012C017,2026-09-21,"[10:00,11:00)",33391,23078
R019C012,2026-09-21,"[16:00,17:00)",4615,3463
R008C007,2026-09-21,"[18:00,19:00)",76582,59045
R007C015,2026-09-21,"[14:00,15:00)",19919,15292
R009C003,2026-09-21,"[18:00,19:00)",48681,43081
R010C002,2026-09-21,"[15:00,16:00)",52996,43049
R015C002,2026-09-21,"[18:00,19:00)",2868,2182
R021C002,2026-09-21,"[16:00,17:00)",49,49
R018C012,2026-09-21,"[21:00,22:00)",1817,1140
R023C007,2026-09-21,"[20:00,21:00)",1477,885
R022C014,2026-09-21,"[04:00,05:00)",62,37
R023C009,2026-09-21,"[02:00,03:00)",312,181
R015C018,2026-09-21,"[06:00,07:00)",10087,9147
R007C007,2026-09-21,"[04:00,05:00)",3518,2942
R004C017,2026-09-21,"[21:00,22:00)",7883,6808
R014C018,2026-09-21,"[08:00,09:00)",33265,24420
R017C009,2026-09-21,"[14:00,15:00)",6047,3982
R011C016,2026-09-21,"[04:00,05:00)",1520,1172
R023C004,2026-09-21,"[08:00,09:00)",282,282
R014C004,2026-09-21,"[10:00,11:00)",5918,4625
R006C010,2026-09-21,"[11:00,12:00)",21844,17358
R013C021,2026-09-21,"[04:00,05:00)",199,156
R018C003,2026-09-21,"[23:00,00:00)",36,36
R020C008,2026-09-21,"[05:00,06:00)",2435,1553
R012C014,2026-09-21,"[12:00,13:00)",51369,35604
R017C018,2026-09-21,"[13:00,14:00)",3613,3313
R015C014,2026-09-21,"[20:00,21:00)",3236,3014
R018C009,2026-09-21,"[03:00,04:00)",708,316
R019C014,2026-09-21,"[18:00,19:00)",3196,2688
R017C003,2026-09-21,"[02:00,03:00)",12,12
R023C009,2026-09-21,"[09:00,10:00)",5395,3990
R006C017,2026-09-21,"[03:00,04:00)",352,229
R011C003,2026-09-21,"[22:00,23:00)",6636,4966
R018C006,2026-09-21,"[17:00,18:00)",5694,4755
R011C006,2026-09-21,"[21:00,22:00)",20048,15967
R011C016,2026-09-21,"[07:00,08:00)",29791,23305
R013C018,2026-09-21,"[06:00,07:00)",7738,6620
R012C005,2026-09-21,"[06:00,07:00)",8543,6407
R001C021,2026-09-21,"[06:00,07:00)",10591,9562
R009C012,2026-09-21,"[14:00,15:00)",62142,52169
R011C016,2026-09-21,"[17:00,18:00)",35912,27729
R004C010,2026-09-21,"[06:00,07:00)",578,558
R017C012,2026-09-21,"[12:00,13:00)",7028,4749
R015C009,2026-09-21,"[21:00,22:00)",1263,898
R013C020,2026-09-21,"[13:00,14:00)",2468,1435
R009C009,2026-09-21,"[05:00,06:00)",9262,7839
R012C001,2026-09-21,"[03:00,04:00)",413,307
R004C007,2026-09-21,"[17:00,18:00)",33557,27295
R008C006,2026-09-21,"[21:00,22:00)",19634,17002
R019C009,2026-09-21,"[19:00,20:00)",7843,5776
R021C008,2026-09-21,"[05:00,06:00)",469,393
R012C003,2026-09-21,"[13:00,14:00)",27707,19076
R017C018,2026-09-21,"[07:00,08:00)",6477,5860
R010C004,2026-09-21,"[17:00,18:00)",39302,29140
R004C008,2026-09-21,"[16:00,17:00)",8440,6526
R024C007,2026-09-21,"[11:00,12:00)",1523,977
R010C002,2026-09-21,"[18:00,19:00)",50841,41677
R006C009,2026-09-21,"[17:00,18:00)",28543,21933
R015C021,2026-09-21,"[04:00,05:00)",972,820
R014C007,2026-09-21,"[04:00,05:00)",493,270
R011C018,2026-09-21,"[10:00,11:00)",30018,20769
R024C004,2026-09-21,"[11:00,12:00)",140,120
R008C009,2026-09-21,"[20:00,21:00)",47030,37123
R015C013,2026-09-21,"[12:00,13:00)",18800,13945
R017C017,2026-09-21,"[16:00,17:00)",3266,3110
R016C011,2026-09-21,"[07:00,08:00)",24353,21381
R011C001,2026-09-21,"[13:00,14:00)",29331,25597
R014C006,2026-09-21,"[03:00,04:00)",527,263
R014C005,2026-09-21,"[15:00,16:00)",5784,4575
R017C007,2026-09-21,"[21:00,22:00)",2120,1789
R003C010,2026-09-21,"[07:00,08:00)",6002,4859
R019C005,2026-09-21,"[07:00,08:00)",9163,7326
R018C004,2026-09-21,"[03:00,04:00)",32,32
R014C015,2026-09-21,"[17:00,18:00)",67193,50571
R013C022,2026-09-21,"[04:00,05:00)",488,435
R015C016,2026-09-21,"[02:00,03:00)",1956,1319
R021C007,2026-09-21,"[05:00,06:00)",87,83
R014C016,2026-09-21,"[21:00,22:00)",7677,6685
R001C020,2026-09-21,"[10:00,11:00)",11983,10621
R018C012,2026-09-21,"[12:00,13:00)",2498,1711
R016C003,2026-09-21,"[06:00,07:00)",225,225
R005C016,2026-09-21,"[07:00,08:00)",31546,28009
R015C001,2026-09-21,"[09:00,10:00)",518,428
R021C012,2026-09-21,"[14:00,15:00)",1497,1373
R014C017,2026-09-21,"[04:00,05:00)",1060,843
R011C015,2026-09-21,"[18:00,19:00)",39105,29763
R016C015,2026-09-21,"[16:00,17:00)",819,795
R018C012,2026-09-21,"[17:00,18:00)",3650,2542
R013C014,2026-09-21,"[17:00,18:00)",58880,45409
R015C002,2026-09-21,"[04:00,05:00)",181,125
R009C001,2026-09-21,"[02:00,03:00)",66,54
R011C001,2026-09-21,"[07:00,08:00)",39848,36477
R008C013,2026-09-21,"[18:00,19:00)",135316,101292
R008C011,2026-09-21,"[08:00,09:00)",21443,20863
R022C014,2026-09-21,"[20:00,21:00)",267,183
R010C017,2026-09-21,"[16:00,17:00)",50890,38198
R010C000,2026-09-21,"[19:00,20:00)",10187,9551
R004C013,2026-09-21,"[06:00,07:00)",2932,2378
R008C003,2026-09-21,"[05:00,06:00)",12949,10865
R013C020,2026-09-21,"[15:00,16:00)",2176,1439
R005C015,2026-09-21,"[21:00,22:00)",11095,8328
R004C011,2026-09-21,"[12:00,13:00)",20723,15528
R009C003,2026-09-21,"[11:00,12:00)",45374,37959
R010C014,2026-09-21,"[08:00,09:00)",75559,59251
R007C017,2026-09-21,"[11:00,12:00)",5888,4471
R010C007,2026-09-21,"[05:00,06:00)",11840,9917
R022C005,2026-09-21,"[08:00,09:00)",430,409
R016C006,2026-09-21,"[12:00,13:00)",709,654
R017C019,2026-09-21,"[02:00,03:00)",742,597
R007C013,2026-09-21,"[13:00,14:00)",55912,44082
R021C009,2026-09-21,"[11:00,12:00)",10168,7723
R005C008,2026-09-21,"[23:00,00:00)",3118,2360
R022C006,2026-09-21,"[09:00,10:00)",1549,1038
R009C003,2026-09-21,"[17:00,18:00)",62305,55374
R009C008,2026-09-21,"[09:00,10:00)",62978,50596
R007C007,2026-09-21,"[15:00,16:00)",66989,50766
R002C019,2026-09-21,"[17:00,18:00)",21791,19228
R015C013,2026-09-21,"[18:00,19:00)",23147,18111
R009C000,2026-09-21,"[02:00,03:00)",36,24
R022C012,2026-09-21,"[11:00,12:00)",3639,3115
R015C017,2026-09-21,"[18:00,19:00)",54475,41753
R013C008,2026-09-21,"[17:00,18:00)",9657,8762
R009C013,2026-09-21,"[05:00,06:00)",7015,5774
R019C011,2026-09-21,"[04:00,05:00)",1260,915
R018C013,2026-09-21,"[05:00,06:00)",107,71
R014C015,2026-09-21,"[12:00,13:00)",45812,32283
R018C013,2026-09-21,"[19:00,20:00)",857,744
R010C007,2026-09-21,"[16:00,17:00)",126611,99136
R006C009,2026-09-21,"[03:00,04:00)",1029,784
R017C006,2026-09-21,"[15:00,16:00)",1054,1010
R004C016,2026-09-21,"[10:00,11:00)",17990,14136
R011C014,2026-09-21,"[17:00,18:00)",90265,68334
R004C015,2026-09-21,"[15:00,16:00)",9035,6673
R018C016,2026-09-21,"[05:00,06:00)",208,153
R007C007,2026-09-21,"[23:00,00:00)",7655,6311
R010C001,2026-09-21,"[14:00,15:00)",21810,20017
R009C004,2026-09-21,"[07:00,08:00)",49199,43220
R015C002,2026-09-21,"[13:00,14:00)",2009,1550
R006C008,2026-09-21,"[05:00,06:00)",4385,3341
R014C004,2026-09-21,"[05:00,06:00)",848,654
R007C013,2026-09-21,"[11:00,12:00)",53411,42010
R004C018,2026-09-21,"[14:00,15:00)",12330,9269
R015C020,2026-09-21,"[11:00,12:00)",3309,2637
R025C011,2026-09-21,"[23:00,00:00)",329,230
R005C009,2026-09-21,"[12:00,13:00)",5113,3833
R017C000,2026-09-21,"[03:00,04:00)",24,24
R012C012,2026-09-21,"[16:00,17:00)",93802,73832
R024C004,2026-09-21,"[20:00,21:00)",118,98
R018C004,2026-09-21,"[20:00,21:00)",1174,1119
R006C014,2026-09-21,"[21:00,22:00)",18738,13888
R014C015,2026-09-21,"[02:00,03:00)",1270,1062
R003C014,2026-09-21,"[19:00,20:00)",2320,1402
R013C020,2026-09-21,"[18:00,19:00)",3138,1962
R023C008,2026-09-21,"[04:00,05:00)",206,182
R007C017,2026-09-21,"[12:00,13:00)",6261,4598
R006C008,2026-09-21,"[12:00,13:00)",34087,25039
R022C014,2026-09-21,"[22:00,23:00)",159,94
R012C007,2026-09-21,"[13:00,14:00)",28984,20316
R008C015,2026-09-21,"[12:00,13:00)",22156,15088
R007C007,2026-09-21,"[02:00,03:00)",2687,1933
R011C007,2026-09-21,"[04:00,05:00)",3852,2840
R016C017,2026-09-21,"[15:00,16:00)",15550,14729
R015C009,2026-09-21,"[03:00,04:00)",182,123
R012C012,2026-09-21,"[15:00,16:00)",82901,64636
R005C010,2026-09-21,"[23:00,00:00)",1315,1194
R025C011,2026-09-21,"[09:00,10:00)",1646,1316
R018C006,2026-09-21,"[06:00,07:00)",4541,3820
R017C018,2026-09-21,"[15:00,16:00)",4902,4629
R014C020,2026-09-21,"[07:00,08:00)",1316,1123
R018C004,2026-09-21,"[22:00,23:00)",283,263
R007C015,2026-09-21,"[03:00,04:00)",936,643
R018C005,2026-09-21,"[13:00,14:00)",1459,1304
R023C012,2026-09-21,"[09:00,10:00)",3870,3728
R010C015,2026-09-21,"[06:00,07:00)",20121,15375
R014C012,2026-09-21,"[11:00,12:00)",53890,40773
R009C001,2026-09-21,"[22:00,23:00)",703,664
R005C013,2026-09-21,"[19:00,20:00)",4031,3079
R015C000,2026-09-21,"[05:00,06:00)",39,39
R019C010,2026-09-21,"[03:00,04:00)",1065,661
R022C012,2026-09-21,"[14:00,15:00)",4642,3820
R006C006,2026-09-21,"[04:00,05:00)",436,379
R011C006,2026-09-21,"[18:00,19:00)",59241,45822
R015C019,2026-09-21,"[07:00,08:00)",18361,17411
R019C013,2026-09-21,"[11:00,12:00)",3206,2048
R010C013,2026-09-21,"[03:00,04:00)",1300,935
R007C006,2026-09-21,"[04:00,05:00)",1254,961
R018C017,2026-09-21,"[20:00,21:00)",161,161
R018C003,2026-09-21,"[09:00,10:00)",547,527
R011C003,2026-09-21,"[10:00,11:00)",18468,13623
R017C008,2026-09-21,"[13:00,14:00)",2280,2084
R018C011,2026-09-21,"[10:00,11:00)",5654,4991
R009C008,2026-09-21,"[18:00,19:00)",74677,59947
R003C010,2026-09-21,"[23:00,00:00)",678,496
R017C009,2026-09-21,"[12:00,13:00)",6349,4135
R011C002,2026-09-21,"[15:00,16:00)",43392,35890
R007C017,2026-09-21,"[17:00,18:00)",6059,5170
R011C004,2026-09-21,"[12:00,13:00)",29096,19707
R007C009,2026-09-21,"[13:00,14:00)",66082,50246
R007C012,2026-09-21,"[06:00,07:00)",14715,12609
R019C005,2026-09-21,"[08:00,09:00)",8950,6780
R013C018,2026-09-21,"[23:00,00:00)",2917,2401
R008C017,2026-09-21,"[02:00,03:00)",43,31
R014C020,2026-09-21,"[15:00,16:00)",1277,988
R007C007,2026-09-21,"[17:00,18:00)",79746,60380
R014C008,2026-09-21,"[08:00,09:00)",5248,4288
R013C006,2026-09-21,"[21:00,22:00)",7365,5117
R018C017,2026-09-21,"[22:00,23:00)",74,62
R018C004,2026-09-21,"[14:00,15:00)",2047,1924
R008C011,2026-09-21,"[17:00,18:00)",20470,19427
R010C012,2026-09-21,"[04:00,05:00)",2630,2012
R021C013,2026-09-21,"[05:00,06:00)",715,527
R010C012,2026-09-21,"[14:00,15:00)",38130,31132
R022C010,2026-09-21,"[03:00,04:00)",75,75
R013C004,2026-09-21,"[17:00,18:00)",14264,11919
R021C010,2026-09-21,"[05:00,06:00)",1308,1197
R003C017,2026-09-21,"[11:00,12:00)",13637,11363
R021C005,2026-09-21,"[05:00,06:00)",373,313
R006C006,2026-09-21,"[05:00,06:00)",698,589
R012C015,2026-09-21,"[20:00,21:00)",14947,12660
R011C006,2026-09-21,"[14:00,15:00)",59437,43533
R019C008,2026-09-21,"[15:00,16:00)",2484,1953
R014C014,2026-09-21,"[22:00,23:00)",13885,11095
R002C019,2026-09-21,"[14:00,15:00)",14127,11551
R006C017,2026-09-21,"[02:00,03:00)",504,354
R002C019,2026-09-21,"[07:00,08:00)",22357,19669
R008C003,2026-09-21,"[12:00,13:00)",42342,34591
R025C011,2026-09-21,"[04:00,05:00)",105,72
R012C020,2026-09-21,"[08:00,09:00)",5705,5581
R018C016,2026-09-21,"[19:00,20:00)",1689,1368
R012C005,2026-09-21,"[04:00,05:00)",1317,828
R005C009,2026-09-21,"[09:00,10:00)",4481,3736
R001C020,2026-09-21,"[11:00,12:00)",11683,10481
R006C011,2026-09-21,"[16:00,17:00)",42760,36333
R021C010,2026-09-21,"[06:00,07:00)",5070,4379
R016C004,2026-09-21,"[10:00,11:00)",3192,2482
R018C002,2026-09-21,"[06:00,07:00)",764,590
R003C014,2026-09-21,"[18:00,19:00)",2249,1511
R008C005,2026-09-21,"[17:00,18:00)",84715,65676
R011C000,2026-09-21,"[11:00,12:00)",26636,25648
R011C001,2026-09-21,"[10:00,11:00)",28493,24800
R003C010,2026-09-21,"[15:00,16:00)",6381,3951
R014C020,2026-09-21,"[22:00,23:00)",772,436
R022C012,2026-09-21,"[07:00,08:00)",10713,8879
R004C018,2026-09-21,"[06:00,07:00)",4998,3967
R016C010,2026-09-21,"[14:00,15:00)",31684,23309
R016C019,2026-09-21,"[17:00,18:00)",44459,37998
R013C004,2026-09-21,"[21:00,22:00)",3862,3317
