area_id,date,time_slice,passers_by,unique_passers_by
R011C019,2026-09-21,"[09:00,10:00)",2175,2119
R014C015,2026-09-21,"[23:00,00:00)",4839,4108
R010C010,2026-09-21,"[14:00,15:00)",187989,128194
R004C007,2026-09-21,"[18:00,19:00)",24111,19862
R011C005,2026-09-21,"[21:00,22:00)",14642,11764
R003C013,2026-09-21,"[23:00,00:00)",2100,1797
R017C006,2026-09-21,"[20:00,21:00)",479,456
R009C002,2026-09-21,"[22:00,23:00)",4910,4252
R014C010,2026-09-21,"[07:00,08:00)",40286,33569
R009C016,2026-09-21,"[20:00,21:00)",16656,13911
R020C008,2026-09-21,"[10:00,11:00)",12936,7707
R010C002,2026-09-21,"[06:00,07:00)",14862,12976
R012C013,2026-09-21,"[17:00,18:00)",94391,68003
R005C009,2026-09-21,"[15:00,16:00)",5668,4287
R023C003,2026-09-21,"[17:00,18:00)",81,81
R014C017,2026-09-21,"[14:00,15:00)",21201,17107
R012C013,2026-09-21,"[09:00,10:00)",56401,41984
R013C005,2026-09-21,"[22:00,23:00)",1770,1321
R009C004,2026-09-21,"[09:00,10:00)",48344,41030
R013C004,2026-09-21,"[10:00,11:00)",10543,8327
R006C014,2026-09-21,"[20:00,21:00)",26336,19470
R017C010,2026-09-21,"[19:00,20:00)",19524,16666
R009C013,2026-09-21,"[09:00,10:00)",64998,52783
R019C012,2026-09-21,"[07:00,08:00)",3727,3059
R010C011,2026-09-21,"[16:00,17:00)",119437,85158
R013C007,2026-09-21,"[02:00,03:00)",864,499
R011C012,2026-09-21,"[04:00,05:00)",2437,1949
R008C006,2026-09-21,"[19:00,20:00)",35246,30181
R016C016,2026-09-21,"[11:00,12:00)",3483,2697
R014C004,2026-09-21,"[14:00,15:00)",6387,4914
R017C019,2026-09-21,"[20:00,21:00)",10434,9102
R007C012,2026-09-21,"[15:00,16:00)",40038,33160
R014C009,2026-09-21,"[16:00,17:00)",33118,25421
R013C017,2026-09-21,"[17:00,18:00)",32747,24719
R023C012,2026-09-21,"[07:00,08:00)",8637,7962
R006C006,2026-09-21,"[06:00,07:00)",3266,2813
R018C000,2026-09-21,"[13:00,14:00)",132,121
R012C012,2026-09-21,"[22:00,23:00)",18430,14902
R008C012,2026-09-21,"[19:00,20:00)",43996,37453
R009C006,2026-09-21,"[07:00,08:00)",66183,54750
R011C009,2026-09-21,"[17:00,18:00)",237507,161619
R005C014,2026-09-21,"[21:00,22:00)",8103,6133
R013C003,2026-09-21,"[18:00,19:00)",11556,9326
R013C003,2026-09-21,"[14:00,15:00)",9185,7465
R024C007,2026-09-21,"[22:00,23:00)",286,187
R006C011,2026-09-21,"[12:00,13:00)",31212,24720
R013C007,2026-09-21,"[04:00,05:00)",872,491
R020C010,2026-09-21,"[14:00,15:00)",22235,16225
R020C012,2026-09-21,"[15:00,16:00)",3314,2412
R004C007,2026-09-21,"[10:00,11:00)",19579,14091
R024C009,2026-09-21,"[22:00,23:00)",897,697
R011C006,2026-09-21,"[17:00,18:00)",73399,55547
R015C011,2026-09-21,"[11:00,12:00)",16809,12358
R012C015,2026-09-21,"[03:00,04:00)",619,528
R003C008,2026-09-21,"[06:00,07:00)",365,365
R009C005,2026-09-21,"[15:00,16:00)",73571,51172
R001C020,2026-09-21,"[08:00,09:00)",16872,15563
R014C021,2026-09-21,"[09:00,10:00)",2820,2232
R016C016,2026-09-21,"[21:00,22:00)",1570,1243
R012C015,2026-09-21,"[07:00,08:00)",31441,27144
R020C006,2026-09-21,"[22:00,23:00)",1557,962
R012C020,2026-09-21,"[05:00,06:00)",314,314
R007C007,2026-09-21,"[13:00,14:00)",55650,42338
R010C007,2026-09-21,"[03:00,04:00)",2769,2226
R014C003,2026-09-21,"[18:00,19:00)",1424,1413
R015C005,2026-09-21,"[12:00,13:00)",1235,1037
R011C003,2026-09-21,"[19:00,20:00)",26997,19108
R001C021,2026-09-21,"[22:00,23:00)",4223,3507
R017C005,2026-09-21,"[20:00,21:00)",742,566
R004C007,2026-09-21,"[07:00,08:00)",30913,25094
R007C012,2026-09-21,"[02:00,03:00)",1276,864
R017C010,2026-09-21,"[04:00,05:00)",1069,848
R009C007,2026-09-21,"[02:00,03:00)",2081,1107
R015C021,2026-09-21,"[03:00,04:00)",721,636
R013C016,2026-09-21,"[11:00,12:00)",8230,6672
R018C000,2026-09-21,"[17:00,18:00)",1585,1317
R012C019,2026-09-21,"[17:00,18:00)",6191,6010
R014C004,2026-09-21,"[23:00,00:00)",518,442
R023C005,2026-09-21,"[14:00,15:00)",88,68
R016C019,2026-09-21,"[19:00,20:00)",27868,23966
R008C014,2026-09-21,"[11:00,12:00)",60761,49275
R009C006,2026-09-21,"[14:00,15:00)",59444,47146
R017C000,2026-09-21,"[12:00,13:00)",235,214
R009C011,2026-09-21,"[18:00,19:00)",102550,82619
R012C020,2026-09-21,"[14:00,15:00)",3548,3389
R023C008,2026-09-21,"[03:00,04:00)",146,90
R015C018,2026-09-21,"[23:00,00:00)",2893,2671
R024C006,2026-09-21,"[14:00,15:00)",531,292
R011C013,2026-09-21,"[04:00,05:00)",2655,2107
R010C000,2026-09-21,"[22:00,23:00)",3109,2816
R012C004,2026-09-21,"[13:00,14:00)",32158,21151
R017C011,2026-09-21,"[06:00,07:00)",4102,3812
R012C010,2026-09-21,"[06:00,07:00)",32667,25705
R008C008,2026-09-21,"[15:00,16:00)",51953,42662
R024C006,2026-09-21,"[16:00,17:00)",1000,734
R006C012,2026-09-21,"[14:00,15:00)",22869,20829
R012C013,2026-09-21,"[05:00,06:00)",6162,4864
R023C011,2026-09-21,"[14:00,15:00)",3059,2461
R016C012,2026-09-21,"[06:00,07:00)",6798,5580
R016C008,2026-09-21,"[07:00,08:00)",7136,5599
R012C011,2026-09-21,"[08:00,09:00)",151761,119239
R011C000,2026-09-21,"[13:00,14:00)",26213,25279
R009C001,2026-09-21,"[18:00,19:00)",3010,2831
R015C007,2026-09-21,"[21:00,22:00)",1762,1633
R014C011,2026-09-21,"[03:00,04:00)",648,494
R020C009,2026-09-21,"[23:00,00:00)",1961,1348
R013C008,2026-09-21,"[22:00,23:00)",1913,1540
R007C005,2026-09-21,"[04:00,05:00)",1246,800
R008C011,2026-09-21,"[16:00,17:00)",19320,18332
R006C010,2026-09-21,"[17:00,18:00)",35737,28845
R016C019,2026-09-21,"[02:00,03:00)",1404,1220
R010C006,2026-09-21,"[08:00,09:00)",98847,76614
R024C005,2026-09-21,"[05:00,06:00)",32,32
R020C009,2026-09-21,"[12:00,13:00)",15052,9540
R005C015,2026-09-21,"[18:00,19:00)",34233,24620
R020C006,2026-09-21,"[03:00,04:00)",599,285
R022C007,2026-09-21,"[16:00,17:00)",4884,3786
R013C012,2026-09-21,"[13:00,14:00)",99570,71344
R023C008,2026-09-21,"[07:00,08:00)",3490,3098
R014C003,2026-09-21,"[09:00,10:00)",723,680
R011C009,2026-09-21,"[19:00,20:00)",136348,94516
R008C013,2026-09-21,"[06:00,07:00)",44330,35860
R021C006,2026-09-21,"[16:00,17:00)",898,805
R007C011,2026-09-21,"[15:00,16:00)",12481,10001
R007C007,2026-09-21,"[10:00,11:00)",50263,38813
R020C011,2026-09-21,"[10:00,11:00)",11038,8604
R009C010,2026-09-21,"[14:00,15:00)",109404,82197
R012C008,2026-09-21,"[18:00,19:00)",48909,39992
R009C004,2026-09-21,"[05:00,06:00)",7988,6809
R010C000,2026-09-21,"[17:00,18:00)",18784,17369
R003C019,2026-09-21,"[23:00,00:00)",506,506
R008C008,2026-09-21,"[04:00,05:00)",2115,1953
R009C013,2026-09-21,"[12:00,13:00)",67470,50830
R012C012,2026-09-21,"[13:00,14:00)",68667,52273
R003C014,2026-09-21,"[09:00,10:00)",1471,1004
R006C013,2026-09-21,"[15:00,16:00)",18964,16191
R007C016,2026-09-21,"[15:00,16:00)",4255,3625
R010C018,2026-09-21,"[11:00,12:00)",27327,20836
R011C013,2026-09-21,"[21:00,22:00)",31459,25288
R016C016,2026-09-21,"[07:00,08:00)",4298,3696
R022C006,2026-09-21,"[06:00,07:00)",816,653
R018C010,2026-09-21,"[11:00,12:00)",15877,12712
R006C017,2026-09-21,"[20:00,21:00)",3387,2548
R018C015,2026-09-21,"[21:00,22:00)",2139,1470
R025C008,2026-09-21,"[09:00,10:00)",270,235
R011C005,2026-09-21,"[18:00,19:00)",50729,35604
R003C008,2026-09-21,"[05:00,06:00)",201,201
R003C009,2026-09-21,"[11:00,12:00)",308,308
R006C009,2026-09-21,"[11:00,12:00)",14696,10951
R018C011,2026-09-21,"[04:00,05:00)",274,274
R014C003,2026-09-21,"[14:00,15:00)",770,758
R005C009,2026-09-21,"[17:00,18:00)",9233,7054
R002C018,2026-09-21,"[12:00,13:00)",16623,12517
R017C010,2026-09-21,"[17:00,18:00)",31734,27525
R007C009,2026-09-21,"[16:00,17:00)",85794,64656
R016C011,2026-09-21,"[10:00,11:00)",15425,12907
R006C012,2026-09-21,"[16:00,17:00)",31623,29811
R012C008,2026-09-21,"[04:00,05:00)",1384,895
R002C018,2026-09-21,"[08:00,09:00)",19362,16481
R013C004,2026-09-21,"[13:00,14:00)",12251,9272
R004C018,2026-09-21,"[02:00,03:00)",337,214
R020C003,2026-09-21,"[06:00,07:00)",174,162
R019C009,2026-09-21,"[22:00,23:00)",2169,1675
R003C017,2026-09-21,"[07:00,08:00)",23679,21945
R018C015,2026-09-21,"[02:00,03:00)",507,228
R014C012,2026-09-21,"[17:00,18:00)",92485,71922
R019C013,2026-09-21,"[13:00,14:00)",3514,2334
R004C007,2026-09-21,"[14:00,15:00)",22199,16802
R010C017,2026-09-21,"[18:00,19:00)",48477,36638
R020C007,2026-09-21,"[15:00,16:00)",5594,3066
R018C004,2026-09-21,"[02:00,03:00)",44,44
R007C015,2026-09-21,"[04:00,05:00)",1444,953
R017C010,2026-09-21,"[23:00,00:00)",2711,2212
R011C013,2026-09-21,"[22:00,23:00)",17565,13874
R009C018,2026-09-21,"[19:00,20:00)",5775,5028
R011C002,2026-09-21,"[11:00,12:00)",31454,24319
R019C002,2026-09-21,"[18:00,19:00)",1454,1014
R021C007,2026-09-21,"[09:00,10:00)",933,591
R014C007,2026-09-21,"[21:00,22:00)",3115,2308
R008C006,2026-09-21,"[12:00,13:00)",47410,39088
R016C015,2026-09-21,"[13:00,14:00)",581,534
R013C012,2026-09-21,"[04:00,05:00)",3896,2884
R015C016,2026-09-21,"[16:00,17:00)",46312,36615
R007C006,2026-09-21,"[06:00,07:00)",6098,5115
R010C010,2026-09-21,"[19:00,20:00)",144866,101828
R009C000,2026-09-21,"[18:00,19:00)",1412,1373
R022C012,2026-09-21,"[16:00,17:00)",5993,5175
R022C008,2026-09-21,"[20:00,21:00)",5235,3534
R024C007,2026-09-21,"[05:00,06:00)",64,64
R019C005,2026-09-21,"[09:00,10:00)",7362,5380
R011C009,2026-09-21,"[09:00,10:00)",182531,125567
R017C018,2026-09-21,"[19:00,20:00)",3350,3121
R021C011,2026-09-21,"[05:00,06:00)",248,248
R014C013,2026-09-21,"[04:00,05:00)",2751,2309
R014C013,2026-09-21,"[20:00,21:00)",36937,31323
R007C012,2026-09-21,"[22:00,23:00)",8631,6976
R025C009,2026-09-21,"[12:00,13:00)",1277,902
R013C016,2026-09-21,"[05:00,06:00)",1125,975
R006C010,2026-09-21,"[18:00,19:00)",27571,22347
R004C011,2026-09-21,"[18:00,19:00)",29069,22235
R006C017,2026-09-21,"[10:00,11:00)",8855,5680
R020C012,2026-09-21,"[20:00,21:00)",2165,1461
R010C009,2026-09-21,"[20:00,21:00)",96807,69962
R024C008,2026-09-21,"[10:00,11:00)",2261,1537
R020C014,2026-09-21,"[22:00,23:00)",614,489
R019C010,2026-09-21,"[17:00,18:00)",33031,25811
R008C004,2026-09-21,"[20:00,21:00)",42076,31246
R025C007,2026-09-21,"[05:00,06:00)",20,20
R008C010,2026-09-21,"[09:00,10:00)",18573,17190
R003C016,2026-09-21,"[14:00,15:00)",2511,1932
R008C005,2026-09-21,"[02:00,03:00)",2864,2215
R008C010,2026-09-21,"[13:00,14:00)",19684,17795
R013C020,2026-09-21,"[07:00,08:00)",2769,2014
R003C015,2026-09-21,"[15:00,16:00)",1315,934
R024C011,2026-09-21,"[14:00,15:00)",939,809
R018C002,2026-09-21,"[03:00,04:00)",24,12
R009C011,2026-09-21,"[21:00,22:00)",38890,31924
R011C017,2026-09-21,"[13:00,14:00)",37405,28535
R020C014,2026-09-21,"[15:00,16:00)",2566,1966
